Grupo,Pos,Equipo,PJ,G,E,P,GF,GC,DG,Pts,Estado
A,1,Mexico,3,3,0,0,6,0,6,9,Avanza
A,2,South Africa,3,1,1,1,2,3,-1,4,Avanza
A,3,South Korea,3,1,0,2,2,3,-1,3,Eliminado
A,4,Czech Republic,3,0,1,2,2,6,-4,1,Eliminado
B,1,Switzerland,3,2,1,0,7,3,4,7,Avanza
B,2,Canada,3,1,1,1,8,3,5,4,Avanza
B,3,Bosnia and Herzegovina,3,1,1,1,5,6,-1,4,Avanza
B,4,Qatar,3,0,1,2,2,10,-8,1,Eliminado
C,1,Brazil,3,2,1,0,7,1,6,7,Avanza
C,2,Morocco,3,2,1,0,6,3,3,7,Avanza
C,3,Scotland,3,1,0,2,1,4,-3,3,Eliminado
C,4,Haiti,3,0,0,3,2,8,-6,0,Eliminado
D,1,United States,3,2,0,1,8,4,4,6,Avanza
D,2,Australia,3,1,1,1,2,2,0,4,Avanza
D,3,Paraguay,3,1,1,1,2,4,-2,4,Avanza
D,4,Turkey,3,1,0,2,3,5,-2,3,Eliminado
E,1,Germany,3,2,0,1,10,4,6,6,Avanza
E,2,Ivory Coast,3,2,0,1,4,2,2,6,Avanza
E,3,Ecuador,3,1,1,1,2,2,0,4,Avanza
E,4,Curacao,3,0,1,2,1,9,-8,1,Eliminado
F,1,Netherlands,3,2,1,0,10,4,6,7,Avanza
F,2,Japan,3,1,2,0,7,3,4,5,Avanza
F,3,Sweden,3,1,1,1,7,7,0,4,Avanza
F,4,Tunisia,3,0,0,3,2,12,-10,0,Eliminado
G,1,Belgium,3,1,2,0,6,2,4,5,Avanza
G,2,Egypt,3,1,2,0,5,3,2,5,Avanza
G,3,Iran,3,0,3,0,3,3,0,3,Eliminado
G,4,New Zealand,3,0,1,2,4,10,-6,1,Eliminado
H,1,Spain,3,2,1,0,5,0,5,7,Avanza
H,2,Cape Verde,3,0,3,0,2,2,0,3,Avanza
H,3,Uruguay,3,0,2,1,3,4,-1,2,Eliminado
H,4,Saudi Arabia,3,0,2,1,1,5,-4,2,Eliminado
I,1,France,3,3,0,0,10,2,8,9,Avanza
I,2,Norway,3,2,0,1,8,7,1,6,Avanza
I,3,Senegal,3,1,0,2,8,6,2,Avanza
I,4,Iraq,3,0,0,3,1,12,-11,0,Eliminado
J,1,Argentina,3,3,0,0,8,1,7,9,Avanza
J,2,Austria,3,1,1,1,6,6,0,4,Avanza
J,3,Algeria,3,1,1,1,5,7,-2,4,Avanza
J,4,Jordan,3,0,0,3,3,8,-5,0,Eliminado
K,1,Colombia,3,2,1,0,4,1,3,7,Avanza
K,2,Portugal,3,1,2,0,6,1,5,5,Avanza
K,3,DR Congo,3,1,1,1,4,3,1,Avanza
K,4,Uzbekistan,3,0,0,3,2,11,-9,0,Eliminado
L,1,England,3,2,1,0,6,2,4,7,Avanza
L,2,Croatia,3,2,0,1,5,5,0,6,Avanza
L,3,Ghana,3,1,1,1,2,2,0,4,Avanza
L,4,Panama,3,0,0,3,0,4,-4,0,Eliminado
